Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Sprint,Custom field (Story Points),Custom field (Story point estimate),Time Spent,Status,Due date,Parent,Parent key,Parent summary
Task,TTCN-858,14039,[SYSTEM] Xử lý setup tài khoản,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,5.0,2.0,72000,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-857,14038,[BE] Xử lý đồng bộ thông tin XC - CT,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,8.0,4.0,57600,Ready for Test,29/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-830,13979,[BE] Báo cáo dữ liệu mã dịch vụ theo doanh thu,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Vận hành XC T3/2026,2.0,,1800,Done,08/Apr/26 12:00 AM,,,
Task,TTCN-734,13871,[BE] Thay đổi mã dịch vụ khi đẩy thông tin sang bravo cho dịch vụ ở Ga Đồng Đăng,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Vận hành XC T3/2026,1.0,1.0,900,Done,02/Apr/26 12:00 AM,,,
Task,TTCN-733,13870,[STH] Cập nhật báo cáo Tài chính MH & Tài chính PC và bổ sung nhà cung cấp mới cho PM Xuất nhập khẩu,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Vận hành STH & TDI - 04/2026,2.0,2.0,,In Progress,16/Apr/26 12:00 AM,,,
Task,TTCN-731,13868,"[BE] Logic ""phân vị trí sang tải"" cho app điều phối",Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,3.0,10800,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-723,13860,"[BE] Bổ sung bộ lọc ""mức ưu tiên"" cho app tổ đội & điều phối",Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,2.0,,10800,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-722,13859,[BE] Bổ sung trường thể hiện luồng nhanh cho danh sách & chi tiết dịch vụ app tổ đội & điều phối,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,2.0,,10800,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-719,13856,[BE] Web app điều hành - Các Api cho màn cảnh báo vận hành & bộ lọc,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,5.0,,43200,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-718,13855,[BE] Web app điều hành - Các Api báo cáo bến bãi,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,5.0,,43200,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-717,13854,[BE] Web app điều hành - Api phân khu cho xe,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,5.0,,43200,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-716,13853,[BE] Web app điều hành - Api chi tiết hành trình xe,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-715,13852,[BE] Web app Điều hành - Api cho danh sách hành trình & bộ lọc,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-714,13851,[BE] Web app Điều hành - Các api màn tổng quan,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,5.0,,43200,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-705,13842,[BE] Web app Tài xế - Api trả ra thông tin cho link tài xế,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,1.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-633,13723,[BE] App Ops hiện trường - Đăng ký tài khoản,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,3.0,14400,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-631,13721,[BE] App Ops hiện trường - Quản lý thông báo,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,5.0,,43200,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-630,13720,[BE] App Ops hiện trường - Thông tin cá nhân,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,2.0,,10800,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-629,13719,[BE] App Ops hiện trường - Giám sát sang tải,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,5.0,,43200,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-628,13718,[BE] App Ops hiện trường - Xác nhận xe vào vị trí,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-627,13717,[BE] App Ops hiện trường - Chi tiết dịch vụ,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-626,13716,[BE] App Ops hiện trường - Lọc dịch vụ,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-625,13715,[BE] App Ops hiện trường - Danh sách dịch vụ,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,2.0,,10800,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-624,13714,[BE] App Ops hiện trường - Cập nhật hành trình,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-623,13713,[BE] App Ops hiện trường - Chi tiết xe,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-622,13712,[BE] App Ops hiện trường - Cập nhật mốc xe,Hoan Do,557058:a1dee0f2-9a8e-4cfd-ab59-1db1065fda26,Control Tower - MVP,3.0,2.0,21600,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
